date_of_count	words
07-07-2010	32723
07-27-2010	47726
07-27-2010	48751
07-27-2010	49643
07-28-2010	50361
07-29-2010	52185
07-29-2010	52560
08-02-2010	53797
08-04-2010	55434
08-04-2010	56446
08-05-2010	57746
08-05-2010	59046
08-06-2010	60612
08-09-2010	61663
08-09-2010	62735
08-10-2010	64196
08-10-2010	65411
08-10-2010	66787
08-11-2010	67683
08-11-2010	68773
08-12-2010	69653
08-12-2010	70512
08-12-2010	71726
08-13-2010	72590
08-14-2010	73553
08-16-2010	74453
08-17-2010	75140
08-18-2010	76149
08-18-2010	77005
08-18-2010	77749
08-18-2010	78621
08-19-2010	79353
08-19-2010	80156
08-19-2010	80917
08-23-2010	82605
08-24-2010	83417
08-24-2010	84237
08-25-2010	85021
08-25-2010	85920
08-27-2010	86750
08-29-2010	87438
08-30-2010	88232
08-30-2010	89029
08-30-2010	90075
08-30-2010	90451
08-31-2010	91289
09-01-2010	92042
09-01-2010	92683
09-01-2010	93372
09-02-2010	94289
09-02-2010	94988
09-02-2010	95586
09-02-2010	96142
09-03-2010	96713
09-03-2010	97480
09-05-2010	97880
09-05-2010	98621
09-06-2010	99438
09-06-2010	100040
09-06-2010	100611
09-06-2010	101251
09-06-2010	101600
09-07-2010	102268
09-07-2010	102819
09-07-2010	103245
09-07-2010	103848
09-08-2010	104336
09-09-2010	105010
09-12-2010	105833
09-14-2010	106627
09-14-2010	107237
09-15-2010	107688
09-16-2010	108285
09-16-2010	108761
09-18-2010	109298
09-19-2010	109966
09-19-2010	110583
09-20-2010	111162
09-20-2010	111646
09-21-2010	112207
09-21-2010	112745
09-21-2010	113313
09-21-2010	113808
09-22-2010	114543
09-22-2010	115183
09-23-2010	115904
09-23-2010	116895
09-23-2010	117768
09-24-2010	118390
09-26-2010	119005
09-27-2010	119685
09-27-2010	120314
10-04-2010	120966
10-05-2010	121403
10-06-2010	121945
10-12-2010	122688
10-12-2010	123573
10-13-2010	124271
10-13-2010	124672
10-14-2010	125362
10-14-2010	125991
10-14-2010	126170
10-14-2010	126656
10-15-2010	127221
10-15-2010	128005
10-15-2010	128736
10-17-2010	129332
10-17-2010	130083
10-19-2010	130656
10-20-2010	131224
10-21-2010	131872
10-25-2010	132386
10-25-2010	133102
10-26-2010	136690
10-27-2010	137296
10-27-2010	137890
10-27-2010	138285
10-28-2010	138899
10-29-2010	139539
10-29-2010	140390
10-31-2010	140757
10-31-2010	144506
11-01-2010	145070
11-01-2010	145798
11-03-2010	146845
11-03-2010	147422
11-04-2010	148354
11-04-2010	149194
11-05-2010	149890
11-05-2010	150869
11-07-2010	154939
11-08-2010	155605
11-08-2010	155962
11-08-2010	156924
11-09-2010	157466
11-10-2010	158151
11-10-2010	159197
11-10-2010	159721
11-11-2010	160227
11-11-2010	160886
11-12-2010	161412
11-12-2010	161964
11-12-2010	162452
11-14-2010	164062
11-14-2010	164787
11-14-2010	165461
11-14-2010	166554
11-15-2010	167239
11-15-2010	167626
11-15-2010	168693
11-16-2010	169188
11-16-2010	170496
11-16-2010	171940
11-17-2010	173619
11-17-2010	174858
11-18-2010	176587
11-18-2010	177219
11-19-2010	180149
11-19-2010	181104
11-22-2010	185616
11-22-2010	186075
11-22-2010	186775
11-23-2010	187286
11-23-2010	187707
11-24-2010	190107
11-24-2010	190584
11-25-2010	191280
11-26-2010	191987
11-26-2010	192478
11-26-2010	193068
11-28-2010	193663
11-28-2010	194873
11-29-2010	197615
11-29-2010	198078
11-29-2010	199046
11-30-2010	199617
11-30-2010	200085
12-01-2010	201029
12-01-2010	201638
12-02-2010	202112
12-02-2010	202827
12-03-2010	203264
12-03-2010	203890
12-04-2010	204552
12-04-2010	206280
12-04-2010	207744
12-04-2010	209297
12-04-2010	209751
12-05-2010	210258
12-05-2010	210739
12-06-2010	211208
12-06-2010	211690
12-07-2010	212313
12-07-2010	212997
12-08-2010	215216
12-09-2010	216703
12-10-2010	217196
12-12-2010	219521
12-12-2010	222095
12-13-2010	222726
12-14-2010	226078
12-14-2010	228425
12-15-2010	230666
12-15-2010	230954
12-16-2010	231459
12-16-2010	231922
12-17-2010	234125
12-17-2010	236061
12-17-2010	237248
12-17-2010	238222
12-17-2010	239872
12-20-2010	240496
12-20-2010	241242
12-21-2010	242374
12-28-2010	247988
12-29-2010	248673
12-30-2010	249474
1-1-2011	251758
1-3-2011	254268
1-3-2011	255518
1-3-2011	256133
1-4-2011	260372
1-4-2011	261576
1-4-2011	262226
1-5-2011	263182
1-12-2011	267547
1-13-2011	272135
1-14-2011	273729
1-14-2011	275217
1-16-2011	276453
1-16-2011	277291
1-16-2011	277932
1-16-2011	278796
1-17-2011	279400
1-17-2011	281310
1-24-2011	281984
1-24-2011	283220
1-24-2011	284029
1-24-2011	284631
1-24-2011	285559
1-24-2011	286161
1-25-2011	286860
1-26-2011	287593
1-26-2011	288100
1-26-2011	288870
1-26-2011	289699
1-30-2011	293969
1-30-2011	295075
1-30-2011	295670
1-30-2011	296319
1-31-2011	297812
1-31-2011	298839
1-31-2011	300305
1-31-2011	300793
1-31-2011	301404
2-1-2011	302571
2-1-2011	303248
2-2-2011	307228
2-2-2011	308659
2-2-2011	309385
2-3-2011	310895
2-3-2011	311883
2-3-2011	312896
2-3-2011	313756
2-4-2011	314464
2-4-2011	315992
2-4-2011	317447
2-6-2011	318183
2-6-2011	318753
2-7-2011	320176
2-7-2011	321063
2-7-2011	321800
2-8-2011	323976
2-8-2011	325557
2-8-2011	326412
2-8-2011	327593
2-9-2011	329139
2-9-2011	330478
2-9-2011	331090
2-9-2011	330020
2-10-2011	331041
2-10-2011	331749
2-11-2011	334069
2-12-2011	334658
2-13-2011	335306
2-13-2011	336062
2-14-2011	336796
2-14-2011	337628
2-15-2011	339333
2-16-2011	339946
2-17-2011	340771
2-18-2011	341398
2-21-2011	346538
2-22-2011	347145
2-22-2011	347722
2-23-2011	348875
2-23-2011	349290
2-23-2011	349840
2-23-2011	350366
2-24-2011	351089
2-24-2011	351543
2-25-2011	353483
2-28-2011	355575
2-28-2011	356816
2-28-2011	357851
3-1-2011	358805
3-2-2011	360266
3-2-2011	361129
3-3-2011	362766
3-3-2011	363951
3-4-2011	365724
3-6-2011	367964
3-6-2011	370462
3-6-2011	372359
3-7-2011	373945
3-8-2011	376612
3-9-2011	378981
3-9-2011	379880
3-10-2011	380753
3-10-2011	381838
3-11-2011	382903
3-13-2011	391778
3-14-2011	392826
3-15-2011	395232
3-15-2011	395938
3-16-2011	399004
3-17-2011	399911
3-17-2011	401036
3-18-2011	401778
3-19-2011	402830
3-20-2011	407555
3-20-2011	408656
3-21-2011	409596
3-21-2011	410260
3-22-2011	412603
3-28-2011	414241
3-29-2011	415898
3-30-2011	417275
3-31-2011	419073
3-31-2011	420289
4-1-2011	421421
4-1-2011	427456
4-8-2011	440112
4-13-2011	443534
4-13-2011	444049
4-15-2011	445194
4-20-2011	448724
4-20-2011	449313
4-21-2011	450014
4-21-2011	451255
4-22-2011	452025
4-23-2011	452642
4-26-2011	453368
4-27-2011	455065
4-29-2011	455827
5-2-2011	461215
5-2-2011	461982
5-2-2011	462630
5-5-2011	466290
5-5-2011	467633
5-6-2011	470683
5-7-2011	472512
5-11-2011	474740
5-11-2011	476347
5-12-2011	477306
5-12-2011	478513
5-13-2011	479367
5-13-2011	481667
5-16-2011	482196
5-16-2011	483138
5-17-2011	485630
5-17-2011	488094
5-18-2011	489264
5-18-2011	490387
5-19-2011	490939
5-19-2011	491733
5-20-2011	492409
5-20-2011	493353
5-23-2011	494053
5-23-2011	495931
5-24-2011	496510
5-24-2011	497043
5-24-2011	497623
5-25-2011	498319
5-25-2011	498955
5-25-2011	499499
5-27-2011	500180
6-14-2011	507738
6-15-2011	512425
6-16-2011	521018
6-17-2011	527669
6-19-2011	528280
6-19-2011	528608
6-20-2011	531956
6-20-2011	541018
6-21-2011	552425
6-22-2011	566537
6-23-2011	577019
6-24-2011	583851
6-26-2011	585124
6-27-2011	594746
6-28-2011	605470
6-29-2011	615231
7-1-2011	630124
7-5-2011	632422
